,time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,date,hour,month,day_of_year,day_of_week
0,2015-01-01 00:00:00,4.5,-0.7,69.0,,,360.0,20.5,,1031.3,,,2015-01-01,0,1,1,3
1,2015-01-01 01:00:00,5.2,-0.0,69.0,,,360.0,16.6,,1032.1,,,2015-01-01,1,1,1,3
2,2015-01-01 02:00:00,4.8,-0.0,71.0,,,350.0,13.0,,1033.1,,,2015-01-01,2,1,1,3
3,2015-01-01 03:00:00,3.4,-0.4,76.0,,,360.0,13.0,,1033.8,,,2015-01-01,3,1,1,3
4,2015-01-01 04:00:00,3.4,-1.0,73.0,,,350.0,16.6,,1034.2,,,2015-01-01,4,1,1,3
5,2015-01-01 05:00:00,4.2,-1.0,69.0,,,350.0,16.6,,1034.4,,,2015-01-01,5,1,1,3
6,2015-01-01 06:00:00,4.2,-1.0,69.0,,,340.0,16.6,,1034.6,,,2015-01-01,6,1,1,3
7,2015-01-01 07:00:00,3.9,-1.5,68.0,,,340.0,14.8,,1034.9,,,2015-01-01,7,1,1,3
8,2015-01-01 08:00:00,3.9,-1.7,67.0,,,350.0,18.4,,1035.5,,,2015-01-01,8,1,1,3
9,2015-01-01 09:00:00,4.9,-1.3,64.0,,,340.0,18.4,,1036.1,,,2015-01-01,9,1,1,3
10,2015-01-01 10:00:00,7.6,0.1,59.0,,,360.0,11.2,,1036.2,,,2015-01-01,10,1,1,3
11,2015-01-01 11:00:00,10.6,1.4,53.0,,,350.0,3.6,,1035.5,,,2015-01-01,11,1,1,3
12,2015-01-01 12:00:00,12.3,3.3,54.0,,,230.0,22.3,,1035.1,,,2015-01-01,12,1,1,3
13,2015-01-01 13:00:00,12.2,4.7,60.0,,,230.0,22.3,,1034.6,,,2015-01-01,13,1,1,3
14,2015-01-01 14:00:00,12.4,5.6,63.0,,,220.0,24.1,,1034.3,,,2015-01-01,14,1,1,3
15,2015-01-01 15:00:00,12.3,6.1,66.0,,,220.0,20.5,,1034.3,,,2015-01-01,15,1,1,3
16,2015-01-01 16:00:00,11.7,6.6,71.0,,,230.0,14.8,,1034.6,,,2015-01-01,16,1,1,3
17,2015-01-01 17:00:00,9.5,6.0,79.0,,,260.0,11.2,,1034.8,,,2015-01-01,17,1,1,3
18,2015-01-01 18:00:00,8.6,5.3,80.0,,,300.0,7.6,,1035.0,,,2015-01-01,18,1,1,3
19,2015-01-01 19:00:00,8.2,5.5,83.0,,,320.0,5.4,,1035.3,,,2015-01-01,19,1,1,3
20,2015-01-01 20:00:00,7.6,5.1,84.0,,,350.0,14.8,,1035.8,,,2015-01-01,20,1,1,3
21,2015-01-01 21:00:00,7.1,4.2,82.0,,,340.0,13.0,,1035.6,,,2015-01-01,21,1,1,3
22,2015-01-01 22:00:00,6.3,3.3,81.0,,,340.0,14.8,,1036.0,,,2015-01-01,22,1,1,3
23,2015-01-01 23:00:00,5.6,1.0,72.0,,,350.0,18.4,,1035.9,,,2015-01-01,23,1,1,3
24,2015-01-02 00:00:00,5.5,-1.2,62.0,,,350.0,22.3,,1035.9,,,2015-01-02,0,1,2,4
25,2015-01-02 01:00:00,5.2,-1.9,60.0,,,350.0,22.3,,1035.8,,,2015-01-02,1,1,2,4
26,2015-01-02 02:00:00,4.3,-2.3,62.0,,,340.0,22.3,,1035.7,,,2015-01-02,2,1,2,4
27,2015-01-02 03:00:00,3.5,-1.6,69.0,,,350.0,24.1,,1035.7,,,2015-01-02,3,1,2,4
28,2015-01-02 04:00:00,3.2,-2.5,66.0,,,340.0,22.3,,1035.2,,,2015-01-02,4,1,2,4
29,2015-01-02 05:00:00,3.3,-2.2,67.0,,,350.0,27.7,,1035.0,,,2015-01-02,5,1,2,4
30,2015-01-02 06:00:00,3.5,-2.5,65.0,,,350.0,22.3,,1035.3,,,2015-01-02,6,1,2,4
31,2015-01-02 07:00:00,3.7,-2.1,66.0,,,350.0,24.1,,1035.7,,,2015-01-02,7,1,2,4
32,2015-01-02 08:00:00,3.7,-2.3,65.0,,,350.0,24.1,,1036.5,,,2015-01-02,8,1,2,4
33,2015-01-02 09:00:00,5.6,-1.8,59.0,,,350.0,20.5,,1036.9,,,2015-01-02,9,1,2,4
34,2015-01-02 10:00:00,8.3,-1.8,49.0,,,350.0,18.4,,1037.7,,,2015-01-02,10,1,2,4
35,2015-01-02 11:00:00,11.2,-1.2,42.0,,,340.0,11.2,,1037.5,,,2015-01-02,11,1,2,4
36,2015-01-02 12:00:00,13.8,-0.3,38.0,,,320.0,3.6,,1036.6,,,2015-01-02,12,1,2,4
37,2015-01-02 13:00:00,15.8,1.1,37.0,,,270.0,5.4,,1035.8,,,2015-01-02,13,1,2,4
38,2015-01-02 14:00:00,14.5,3.0,46.0,,,220.0,11.2,,1035.5,,,2015-01-02,14,1,2,4
39,2015-01-02 15:00:00,14.4,2.9,46.0,,,230.0,13.0,,1035.3,,,2015-01-02,15,1,2,4
40,2015-01-02 16:00:00,14.2,4.8,53.0,,,230.0,11.2,,1035.1,,,2015-01-02,16,1,2,4
41,2015-01-02 17:00:00,12.3,5.2,62.0,,,230.0,7.6,,1035.4,,,2015-01-02,17,1,2,4
