,time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,2015-01-01,7.2,2.9,12.6,0.0,,,15.5,,1034.5,
1,2015-01-02,8.0,3.1,16.5,0.0,,,16.4,,1035.9,
2,2015-01-03,10.6,6.1,17.6,0.0,,,15.5,,1033.5,
3,2015-01-04,10.3,6.1,16.6,0.0,,,20.1,,1031.3,
4,2015-01-05,8.8,4.9,15.7,0.0,,,15.2,,1029.8,
5,2015-01-06,8.1,5.2,14.5,0.0,,,18.7,,1026.0,
6,2015-01-07,8.2,5.4,15.0,0.0,,,16.8,,1030.6,
7,2015-01-08,7.1,4.0,12.9,0.0,,,22.8,,1036.3,
8,2015-01-09,7.8,3.8,14.8,0.0,,,21.0,,1039.9,
9,2015-01-10,11.1,7.2,17.8,0.0,,,14.3,,1031.8,
10,2015-01-11,10.4,7.2,15.5,0.0,,,19.0,,1028.3,
11,2015-01-12,9.9,5.4,15.6,0.0,,,21.5,,1032.7,
12,2015-01-13,11.5,7.8,16.0,0.0,,,15.7,,1025.9,
13,2015-01-14,11.2,8.1,16.9,0.0,,,10.0,,1024.7,
14,2015-01-15,10.3,6.0,15.8,0.0,,,10.7,,1018.2,
15,2015-01-16,10.1,7.9,14.2,0.1,,,12.0,,1010.3,
16,2015-01-17,7.8,4.1,12.8,0.0,,,14.4,,1019.4,
17,2015-01-18,7.4,1.6,13.7,5.8,,,18.4,,1016.1,
18,2015-01-19,6.9,6.0,8.2,7.5,,,15.8,,1009.4,
19,2015-01-20,7.2,5.7,10.4,0.0,,,17.0,,1009.0,
20,2015-01-21,6.7,4.0,10.6,0.0,,,13.6,,1007.2,
21,2015-01-22,6.5,2.9,13.1,0.0,,,16.4,,1009.9,
22,2015-01-23,7.9,2.5,14.8,0.0,,,17.8,,1015.6,
23,2015-01-24,9.5,4.6,15.1,0.0,,,22.6,,1018.5,
24,2015-01-25,10.8,7.0,17.0,0.0,,,15.6,,1020.0,
25,2015-01-26,7.8,4.6,13.5,0.0,,,14.7,,1025.6,
26,2015-01-27,9.0,6.3,13.2,0.0,,,14.2,,1022.4,
27,2015-01-28,8.1,4.4,13.6,0.0,,,12.6,,1021.3,
28,2015-01-29,10.7,5.4,17.6,0.0,,,18.4,,1007.1,
29,2015-01-30,14.2,8.8,18.3,0.2,,,31.6,,991.6,
30,2015-01-31,10.2,7.0,15.1,0.0,,,14.6,,989.8,
31,2015-02-01,7.9,5.3,13.0,0.0,,,25.5,,1003.1,
32,2015-02-02,6.7,3.3,11.7,0.2,,,15.5,,1007.9,
33,2015-02-03,6.6,4.4,8.9,8.9,,,15.0,,998.3,
34,2015-02-04,5.1,1.8,8.0,1.1,,,21.9,,998.1,
35,2015-02-05,6.6,3.4,11.4,0.0,,,13.8,,1001.6,
36,2015-02-06,4.4,0.5,9.7,0.0,,,16.0,,1007.9,
37,2015-02-07,5.7,1.5,10.7,0.0,,,14.9,,1018.0,
38,2015-02-08,7.2,4.0,12.3,0.0,,,19.0,,1019.6,
39,2015-02-09,6.9,2.6,13.5,0.0,,,18.8,,1025.3,
40,2015-02-10,8.4,3.8,14.7,0.0,,,16.7,,1024.8,
41,2015-02-11,7.9,3.0,15.7,0.0,,,11.6,,1023.4,
42,2015-02-12,9.0,4.4,14.4,0.0,,,13.6,,1021.5,
43,2015-02-13,11.3,8.8,15.5,0.0,,,14.9,,1020.1,
44,2015-02-14,11.0,6.3,15.3,0.0,,,12.7,,1013.9,
45,2015-02-15,10.9,8.4,14.2,0.0,,,10.7,,1009.4,
46,2015-02-16,10.0,5.1,15.0,0.0,,,11.7,,1015.7,
47,2015-02-17,11.9,9.7,14.9,0.0,,,14.2,,1024.1,
48,2015-02-18,11.2,8.1,15.8,0.0,,,15.3,,1031.4,
49,2015-02-19,9.1,5.0,14.2,0.0,,,15.1,,1031.8,
50,2015-02-20,8.5,4.4,13.4,0.0,,,15.3,,1023.0,
51,2015-02-21,9.3,5.2,13.3,0.0,,,9.2,,1006.1,
52,2015-02-22,9.6,4.3,16.6,0.0,,,14.5,,1007.3,
53,2015-02-23,10.9,6.0,18.9,,,,11.9,,1009.5,
54,2015-02-24,11.2,7.8,15.3,0.0,,,24.3,,1014.2,
55,2015-02-25,11.9,6.6,19.9,0.0,,,14.2,,1017.4,
56,2015-02-26,10.8,6.6,17.3,0.0,,,9.6,,1017.9,
57,2015-02-27,11.8,7.9,17.9,0.0,,,14.9,,1015.2,
58,2015-02-28,9.2,4.8,13.2,0.0,,,14.4,,1020.7,
59,2015-03-01,12.8,9.3,17.2,0.0,,,14.7,,1020.4,
60,2015-03-02,16.3,13.5,23.4,0.0,,,14.7,,1019.7,
61,2015-03-03,13.5,10.3,17.2,0.0,,,6.0,,1025.2,
62,2015-03-04,10.1,6.5,14.2,22.2,,,12.6,,1025.4,
63,2015-03-05,11.6,4.7,19.9,0.0,,,17.9,,1027.1,
64,2015-03-06,10.4,5.7,15.4,0.0,,,15.8,,1031.0,
65,2015-03-07,10.9,6.2,16.7,0.0,,,12.5,,1028.4,
66,2015-03-08,10.5,6.8,16.0,0.0,,,12.0,,1025.3,
67,2015-03-09,11.7,8.4,15.7,0.0,,,12.8,,1024.7,
68,2015-03-10,12.3,8.9,17.5,0.0,,,14.7,,1025.5,
69,2015-03-11,12.1,7.4,16.4,0.0,,,9.7,,1023.3,
70,2015-03-12,12.8,9.3,18.4,0.0,,,14.0,,1020.8,
71,2015-03-13,12.6,9.1,16.0,0.0,,,12.3,,1021.3,
72,2015-03-14,9.1,5.9,11.7,7.0,,,13.4,,1020.1,
73,2015-03-15,8.3,3.6,13.7,1.7,,,16.0,,1017.3,
74,2015-03-16,9.1,6.1,12.6,0.0,,,16.3,,1019.3,
75,2015-03-17,10.3,4.7,15.2,0.0,,,15.2,,1021.4,
76,2015-03-18,13.5,12.3,16.0,0.0,,,31.5,,1020.9,
77,2015-03-19,14.4,11.3,17.8,0.0,,,33.4,,1018.9,
78,2015-03-20,14.4,12.5,16.4,18.3,,,42.6,,1015.1,
79,2015-03-21,13.8,12.3,15.8,1.5,,,35.0,,1010.4,
80,2015-03-22,13.1,11.5,15.5,0.0,,,23.9,,1010.8,
81,2015-03-23,13.4,12.3,15.8,4.5,,,30.2,,1011.9,
82,2015-03-24,12.8,12.0,14.4,2.0,,,30.3,,1005.8,
83,2015-03-25,11.3,9.5,13.6,2.1,,,13.5,,1002.7,
84,2015-03-26,11.3,6.6,15.5,0.0,,,19.3,,,
85,2015-03-27,13.2,8.8,17.7,,,,11.7,,,
86,2015-03-28,14.8,9.5,20.2,0.0,,,10.6,,1021.8,
87,2015-03-29,14.7,11.6,18.4,0.0,,,10.8,,1021.4,
88,2015-03-30,16.2,13.4,22.6,0.0,,,7.5,,1019.2,
89,2015-03-31,16.1,12.0,21.8,0.0,,,13.8,,1022.4,
90,2015-04-01,14.1,11.7,18.0,0.0,,,15.2,,1025.5,
91,2015-04-02,13.6,10.0,17.0,0.0,,,16.4,,1024.9,
92,2015-04-03,12.8,9.1,16.8,0.0,,,12.9,,1020.1,
93,2015-04-04,13.6,10.3,17.5,0.0,,,10.0,,1014.5,
94,2015-04-05,13.2,9.2,17.1,0.0,,,14.3,,1012.7,
95,2015-04-06,13.2,9.4,15.9,0.0,,,16.9,,1020.6,
96,2015-04-07,12.0,7.8,16.9,0.0,,,19.9,,1027.7,
97,2015-04-08,11.4,6.3,17.2,0.0,,,15.9,,1030.6,
98,2015-04-09,11.5,6.0,16.2,0.0,,,14.0,,1028.5,
99,2015-04-10,12.9,8.2,17.6,0.0,,,14.5,,1025.9,
100,2015-04-11,13.9,10.8,17.6,0.0,,,18.9,,1025.7,
101,2015-04-12,15.2,11.1,18.9,0.0,,,12.1,,1028.8,
102,2015-04-13,14.4,10.1,19.1,0.0,,,11.2,,1029.7,
103,2015-04-14,15.3,10.6,20.6,0.0,,,9.4,,,
104,2015-04-15,15.9,10.7,21.2,0.0,,,18.6,,,
105,2015-04-16,16.3,14.6,19.2,2.9,,,12.8,,1016.1,
106,2015-04-17,16.1,12.6,22.4,0.0,,,12.2,,1016.9,
107,2015-04-18,15.8,12.2,21.2,3.6,,,13.3,,1015.1,
108,2015-04-19,15.6,13.3,20.4,0.0,,,13.0,,1014.0,
109,2015-04-20,14.9,11.6,18.2,0.0,,,9.8,,1021.5,
110,2015-04-21,16.7,12.1,22.8,0.0,,,10.7,,1024.1,
111,2015-04-22,15.9,12.6,21.0,0.0,,,11.5,,1022.6,
112,2015-04-23,16.0,10.9,19.9,0.0,,,10.7,,1018.1,
113,2015-04-24,16.4,12.9,20.7,0.0,,,16.2,,1016.2,
114,2015-04-25,17.2,16.3,19.8,0.0,,,14.5,,1013.6,
115,2015-04-26,17.3,15.1,19.8,3.6,,,8.5,,1008.1,
116,2015-04-27,17.5,13.0,24.7,0.0,,,14.0,,1004.3,
117,2015-04-28,15.8,12.1,19.2,1.0,,,11.7,,1015.7,
118,2015-04-29,15.3,11.2,19.3,0.0,,,16.1,,1018.5,
119,2015-04-30,16.7,13.8,20.0,0.0,,,18.0,,1020.0,
120,2015-05-01,17.1,15.2,19.7,0.0,,,24.2,,1014.2,
121,2015-05-02,19.4,16.0,23.7,0.0,,,15.4,,1013.7,
122,2015-05-03,20.1,16.7,26.1,0.0,,,16.9,,1010.2,
123,2015-05-04,17.9,16.0,21.0,0.0,,,16.2,,1009.5,
124,2015-05-05,19.8,16.8,28.9,0.0,,,12.6,,1009.7,
125,2015-05-06,18.8,15.2,23.2,0.0,,,13.3,,1016.3,
126,2015-05-07,17.8,14.0,21.8,0.0,,,12.9,,1019.8,
127,2015-05-08,18.6,14.2,23.9,0.0,,,18.2,,1016.8,
128,2015-05-09,19.9,16.3,23.8,0.0,,,17.3,,1023.2,
129,2015-05-10,19.5,16.4,23.8,,,,16.2,,1024.4,
130,2015-05-11,19.7,14.7,25.8,0.0,,,14.0,,1023.0,
131,2015-05-12,19.4,15.1,23.7,0.0,,,11.6,,1023.3,
132,2015-05-13,20.0,15.6,25.3,,,,20.1,,1021.6,
133,2015-05-14,21.1,18.2,25.3,,,,13.1,,1012.9,
134,2015-05-15,19.1,14.9,28.0,0.5,,,19.4,,1013.9,
135,2015-05-16,18.9,14.3,25.0,0.0,,,17.0,,1020.9,
136,2015-05-17,18.8,15.4,23.2,0.0,,,13.5,,1021.6,
137,2015-05-18,18.9,14.6,22.5,0.0,,,18.7,,1015.4,
138,2015-05-19,17.6,14.3,21.2,10.1,,,11.7,,1012.0,
139,2015-05-20,15.2,11.7,18.2,,,,12.7,,1017.3,
140,2015-05-21,16.4,12.8,20.2,0.0,,,19.8,,1021.9,
141,2015-05-22,17.3,13.1,21.2,0.0,,,16.8,,1021.4,
142,2015-05-23,17.7,12.9,22.2,0.0,,,14.7,,1017.0,
143,2015-05-24,18.3,15.3,23.3,0.0,,,11.4,,1016.8,
144,2015-05-25,19.3,14.7,25.6,0.0,,,16.6,,1016.0,
145,2015-05-26,19.2,17.0,23.1,0.0,,,14.5,,1015.6,
146,2015-05-27,18.5,15.8,21.7,0.0,,,14.2,,1018.8,
147,2015-05-28,18.8,15.3,22.6,0.0,,,18.9,,1019.2,
148,2015-05-29,18.8,15.1,22.7,0.0,,,12.6,,1016.0,
149,2015-05-30,19.3,16.3,22.9,0.0,,,10.6,,1017.5,
150,2015-05-31,19.8,16.3,22.9,0.0,,,9.9,,1018.2,
151,2015-06-01,21.1,18.3,24.9,0.0,,,13.1,,1018.8,
152,2015-06-02,20.7,17.0,24.3,0.0,,,13.4,,1020.3,
153,2015-06-03,21.7,17.6,24.4,,,,12.1,,,
154,2015-06-04,22.9,18.7,27.4,0.0,,,11.3,,1021.6,
155,2015-06-05,23.0,18.4,28.0,0.0,,,16.2,,1020.3,
156,2015-06-06,23.1,18.8,28.0,0.0,,,11.0,,1021.1,
157,2015-06-07,24.2,19.1,29.7,0.0,,,10.2,,1021.1,
158,2015-06-08,24.9,21.2,29.9,0.0,,,13.0,,1017.6,
159,2015-06-09,23.8,21.7,27.7,0.0,,,9.7,,1015.4,
160,2015-06-10,23.7,20.9,26.7,0.0,,,15.7,,1015.2,
161,2015-06-11,23.7,19.9,28.7,3.7,,,24.0,,1012.8,
162,2015-06-12,22.2,18.5,26.4,0.0,,,17.7,,1009.8,
163,2015-06-13,21.9,20.1,24.8,0.0,,,16.9,,1011.4,
164,2015-06-14,22.4,19.2,26.6,0.0,,,15.2,,1010.7,
165,2015-06-15,21.9,19.0,25.0,7.0,,,12.6,,1015.3,
166,2015-06-16,20.4,16.6,25.8,,,,13.6,,1018.3,
167,2015-06-17,21.5,17.9,24.7,0.0,,,14.1,,1019.7,
