,Unnamed: 0,time,temp,dwpt,rhum,prcp,wdir,wspd,wpgt,pres,tsun,coco,date,hour,target_lluvia,avg_temp_parts_of_day,max_temp_parts_of_day,min_temp_parts_of_day,avg_temp_24,max_temp_24,min_temp_24,target_24h,wind_u,wind_v,temp_lag_6h,temp_lag_24h,rhum_lag_6h,rhum_lag_24h,pres_lag_6h,pres_lag_24h,wspd_lag_6h,wspd_lag_24h,pres_diff,parts_of_day_madrugada,parts_of_day_manana,parts_of_day_noche,parts_of_day_tarde
66664,66664,2022-08-09 16:00:00,31.5,21.0,54.0,0.0,170.0,9.4,20.4,1016.9,60.0,1.0,2022-08-09,16,0,31.125,31.7,29.8,28.808333333333334,31.7,24.3,0.0,-9.257192878314756,1.6322928700691446,30.3,30.3,62.0,52.0,1018.1,1015.5,18.4,11.2,-0.8000000000000682,False,False,False,True
66665,66665,2022-08-09 17:00:00,31.2,21.1,55.0,0.0,210.0,9.4,18.5,1016.7,55.0,2.0,2022-08-09,17,0,31.125,31.7,29.8,28.808333333333334,31.7,24.3,0.0,-8.140638795573723,-4.700000000000001,31.6,30.5,54.0,53.0,1018.1,1015.5,18.4,9.4,-0.599999999999909,False,False,False,True
66666,66666,2022-08-09 18:00:00,30.5,21.3,58.0,0.0,240.0,5.4,16.7,1017.2,42.0,2.0,2022-08-09,18,0,31.125,31.7,29.8,28.808333333333334,31.7,24.3,0.0,-2.7000000000000024,-4.676537180435968,31.5,29.8,58.0,56.0,1018.0,1015.5,14.8,9.4,0.20000000000004547,False,False,False,True
66667,66667,2022-08-09 19:00:00,29.8,22.0,63.0,0.0,220.0,9.4,14.8,1017.1,24.0,2.0,2022-08-09,19,0,31.125,31.7,29.8,28.808333333333334,31.7,24.3,0.0,-7.200817765318393,-6.042203531053469,31.7,28.9,46.0,59.0,1017.7,1015.7,14.8,9.4,0.20000000000004547,False,False,False,True
66668,66668,2022-08-09 20:00:00,29.2,21.9,65.0,0.0,220.0,11.2,13.0,1017.0,0.0,2.0,2022-08-09,20,0,28.825,29.2,28.3,28.808333333333334,31.7,24.3,0.0,-8.579697762932554,-7.199221228489239,31.3,28.5,54.0,58.0,1017.3,1016.4,14.8,3.6,0.2999999999999545,False,False,True,False
66669,66669,2022-08-09 21:00:00,29.0,22.7,69.0,0.0,220.0,16.6,11.1,1016.6,0.0,2.0,2022-08-09,21,0,28.825,29.2,28.3,28.808333333333334,31.7,24.3,0.0,-12.716337755775037,-10.670274320796553,31.5,28.4,52.0,64.0,1017.0,1016.6,13.0,3.6,-0.6000000000000227,False,False,True,False
66670,66670,2022-08-09 22:00:00,28.8,22.5,69.0,0.0,230.0,13.0,14.8,1016.8,0.0,2.0,2022-08-09,22,0,28.825,29.2,28.3,28.808333333333334,31.7,24.3,0.0,-8.356238925925012,-9.958577760546714,31.5,27.0,54.0,69.0,1016.9,1016.7,9.4,3.6,-0.3000000000000682,False,False,True,False
66671,66671,2022-08-09 23:00:00,28.3,15.2,45.0,0.0,350.0,13.0,13.0,1017.2,0.0,2.0,2022-08-09,23,0,28.825,29.2,28.3,28.808333333333334,31.7,24.3,0.0,12.802500789158705,-2.257426309670095,31.2,26.3,55.0,70.0,1016.7,1016.7,9.4,5.4,0.20000000000004547,False,False,True,False
66672,66672,2022-08-10 00:00:00,27.3,15.3,48.0,0.0,360.0,7.6,13.0,1017.1,0.0,2.0,2022-08-10,0,0,25.35,27.3,24.0,28.75,32.1,24.0,0.0,7.6,-1.8614631347039767e-15,30.5,25.9,58.0,66.0,1017.2,1016.6,5.4,9.4,0.5,True,False,False,False
66673,66673,2022-08-10 01:00:00,26.1,16.1,54.0,0.0,360.0,16.6,13.0,1016.8,0.0,1.0,2022-08-10,1,0,25.35,27.3,24.0,28.75,32.1,24.0,0.0,16.6,-4.065827373169213e-15,29.8,26.0,63.0,62.0,1017.1,1016.5,9.4,14.8,0.0,True,False,False,False
66674,66674,2022-08-10 02:00:00,25.4,16.3,57.0,0.0,360.0,14.8,14.8,1016.5,0.0,1.0,2022-08-10,2,0,25.35,27.3,24.0,28.75,32.1,24.0,0.0,14.8,-3.624954525476166e-15,29.2,25.2,65.0,62.0,1017.0,1016.5,11.2,5.4,-0.7000000000000455,True,False,False,False
66675,66675,2022-08-10 03:00:00,25.2,15.8,56.0,0.0,360.0,14.8,14.8,1016.3,0.0,1.0,2022-08-10,3,0,25.35,27.3,24.0,28.75,32.1,24.0,0.0,14.8,-3.624954525476166e-15,29.0,25.1,69.0,64.0,1016.6,1016.4,16.6,16.6,-0.8000000000000682,True,False,False,False
66676,66676,2022-08-10 04:00:00,24.0,16.0,61.0,0.0,310.0,14.8,20.4,1016.0,0.0,1.0,2022-08-10,4,0,25.35,27.3,24.0,28.75,32.1,24.0,0.0,9.513256623360782,-11.337457758160877,28.8,24.7,69.0,66.0,1016.8,1016.4,13.0,16.6,-0.7999999999999545,True,False,False,False
66677,66677,2022-08-10 05:00:00,24.1,16.1,61.0,0.0,350.0,16.6,20.4,1016.3,9.0,1.0,2022-08-10,5,0,25.35,27.3,24.0,28.75,32.1,24.0,0.0,16.347808700002656,-2.882559749271045,28.3,24.3,45.0,66.0,1017.2,1016.7,13.0,14.8,-0.20000000000004547,True,False,False,False
66678,66678,2022-08-10 06:00:00,24.8,16.0,58.0,0.0,360.0,14.8,20.4,1016.7,31.0,1.0,2022-08-10,6,0,29.5,31.9,24.8,28.75,32.1,24.0,0.0,14.8,-3.624954525476166e-15,27.3,25.3,48.0,62.0,1017.1,1017.0,7.6,14.8,0.40000000000009095,False,True,False,False
66679,66679,2022-08-10 07:00:00,26.8,16.7,54.0,0.0,360.0,9.4,20.4,1017.0,48.0,1.0,2022-08-10,7,0,29.5,31.9,24.8,28.75,32.1,24.0,0.0,9.4,-2.3023359823970243e-15,26.1,28.0,54.0,52.0,1016.8,1017.4,16.6,11.2,1.0,False,True,False,False
66680,66680,2022-08-10 08:00:00,30.2,18.3,49.0,0.0,330.0,3.6,18.5,1016.9,58.0,1.0,2022-08-10,8,0,29.5,31.9,24.8,28.75,32.1,24.0,0.0,3.117691453623978,-1.8000000000000016,25.4,29.9,57.0,47.0,1016.5,1017.7,14.8,11.2,0.6000000000000227,False,True,False,False
66681,66681,2022-08-10 09:00:00,31.6,21.4,55.0,0.0,240.0,13.0,18.5,1016.5,60.0,1.0,2022-08-10,9,0,29.5,31.9,24.8,28.75,32.1,24.0,0.0,-6.500000000000005,-11.2583302491977,25.2,30.8,56.0,52.0,1016.3,1017.9,14.8,14.8,-0.20000000000004547,False,True,False,False
66682,66682,2022-08-10 10:00:00,31.9,21.4,54.0,0.0,220.0,16.6,22.2,1016.3,60.0,1.0,2022-08-10,10,0,29.5,31.9,24.8,28.75,32.1,24.0,0.0,-12.716337755775037,-10.670274320796553,24.0,30.3,61.0,62.0,1016.0,1018.1,14.8,18.4,-0.7000000000000455,False,True,False,False
66683,66683,2022-08-10 11:00:00,31.7,22.7,59.0,0.0,210.0,20.5,27.8,1016.2,60.0,1.0,2022-08-10,11,0,29.5,31.9,24.8,28.75,32.1,24.0,0.0,-17.75352077758099,-10.250000000000002,24.1,31.6,61.0,54.0,1016.3,1018.1,16.6,18.4,-0.6999999999999318,False,True,False,False
66684,66684,2022-08-10 12:00:00,31.7,23.5,62.0,0.0,210.0,20.5,31.5,1015.9,60.0,1.0,2022-08-10,12,0,30.9125,32.1,29.8,28.75,32.1,24.0,0.0,-17.75352077758099,-10.250000000000002,24.8,31.5,58.0,58.0,1016.7,1018.0,14.8,14.8,-0.6000000000000227,False,False,False,True
66685,66685,2022-08-10 13:00:00,32.0,21.8,55.0,0.0,220.0,20.5,31.5,1015.8,60.0,1.0,2022-08-10,13,0,30.9125,32.1,29.8,28.75,32.1,24.0,0.0,-15.70391108393905,-13.177145998574055,26.8,31.7,54.0,46.0,1017.0,1017.7,9.4,14.8,-0.5,False,False,False,True
66686,66686,2022-08-10 14:00:00,32.1,21.9,55.0,0.0,220.0,24.1,31.5,1015.7,60.0,1.0,2022-08-10,14,0,30.9125,32.1,29.8,28.75,32.1,24.0,0.0,-18.46167107916737,-15.491181393445597,30.2,31.3,49.0,54.0,1016.9,1017.3,3.6,14.8,-0.5,False,False,False,True
66687,66687,2022-08-10 15:00:00,31.0,22.0,59.0,0.0,210.0,28.0,29.6,1015.0,60.0,2.0,2022-08-10,15,0,30.9125,32.1,29.8,28.75,32.1,24.0,0.0,-24.24871130596428,-14.000000000000004,31.6,31.5,55.0,52.0,1016.5,1017.0,13.0,13.0,-0.8999999999999773,False,False,False,True
66688,66688,2022-08-10 16:00:00,30.0,21.9,62.0,0.0,210.0,19.0,29.6,1015.0,60.0,1.0,2022-08-10,16,0,30.9125,32.1,29.8,28.75,32.1,24.0,0.0,-16.454482671904334,-9.500000000000002,31.9,31.5,54.0,54.0,1016.3,1016.9,16.6,9.4,-0.7999999999999545,False,False,False,True
66689,66689,2022-08-10 17:00:00,30.0,22.9,66.0,0.0,220.0,20.0,25.9,1014.0,56.0,2.0,2022-08-10,17,0,30.9125,32.1,29.8,28.75,32.1,24.0,0.0,-15.32088886237956,-12.855752193730785,31.7,31.2,59.0,55.0,1016.2,1016.7,20.5,9.4,-1.7000000000000455,False,False,False,True
66690,66690,2022-08-10 18:00:00,30.7,23.6,66.0,0.0,230.0,17.0,22.2,1015.4,44.0,2.0,2022-08-10,18,0,30.9125,32.1,29.8,28.75,32.1,24.0,0.0,-10.927389364671171,-13.022755533022625,31.7,30.5,62.0,58.0,1015.9,1017.2,20.5,5.4,0.39999999999997726,False,False,False,True
66691,66691,2022-08-10 19:00:00,29.8,23.2,68.0,0.0,220.0,13.0,20.4,1015.3,25.0,2.0,2022-08-10,19,0,30.9125,32.1,29.8,28.75,32.1,24.0,0.0,-9.958577760546714,-8.35623892592501,32.0,29.8,55.0,63.0,1015.8,1017.1,20.5,9.4,0.2999999999999545,False,False,False,True
66692,66692,2022-08-10 20:00:00,28.9,22.4,68.0,0.0,250.0,16.6,16.7,1015.2,0.0,2.0,2022-08-10,20,0,28.4,29.0,26.9,28.75,32.1,24.0,0.0,-5.677534379206098,-15.59889750504608,32.1,29.2,55.0,65.0,1015.7,1017.0,24.1,11.2,1.2000000000000455,False,False,True,False
66693,66693,2022-08-10 21:00:00,28.8,21.5,65.0,0.0,240.0,9.4,13.0,1015.3,0.0,2.0,2022-08-10,21,0,28.4,29.0,26.9,28.75,32.1,24.0,0.0,-4.700000000000005,-8.140638795573722,31.0,29.0,59.0,69.0,1015.0,1016.6,28.0,16.6,-0.10000000000002274,False,False,True,False
66694,66694,2022-08-10 22:00:00,29.0,21.7,65.0,0.0,230.0,9.4,13.0,1015.7,0.0,2.0,2022-08-10,22,0,28.4,29.0,26.9,28.75,32.1,24.0,0.0,-6.042203531053471,-7.2008177653183925,30.0,28.8,62.0,69.0,1015.0,1016.8,19.0,13.0,0.40000000000009095,False,False,True,False
66695,66695,2022-08-10 23:00:00,26.9,19.8,65.0,0.0,280.0,5.4,13.0,1015.6,0.0,2.0,2022-08-10,23,0,28.4,29.0,26.9,28.75,32.1,24.0,0.0,0.9377001594014219,-5.317961866265924,30.0,28.3,66.0,45.0,1014.0,1017.2,20.0,13.0,0.39999999999997726,False,False,True,False
66696,66696,2022-08-11 00:00:00,26.7,17.2,56.0,0.0,0.0,0.0,13.0,1015.3,0.0,2.0,2022-08-11,0,0,25.23333333333333,26.7,23.9,28.5625,32.1,23.9,0.0,0.0,0.0,30.7,27.3,66.0,48.0,1015.4,1017.1,17.0,7.6,0.0,True,False,False,False
66697,66697,2022-08-11 01:00:00,26.0,17.4,59.0,0.0,340.0,5.4,13.0,1015.1,0.0,2.0,2022-08-11,1,0,25.23333333333333,26.7,23.9,28.5625,32.1,23.9,0.0,5.074340152243906,-1.8469087739586105,29.8,26.1,68.0,54.0,1015.3,1016.8,13.0,16.6,-0.6000000000000227,True,False,False,False
66698,66698,2022-08-11 02:00:00,25.3,17.5,62.0,0.0,360.0,14.8,14.8,1015.3,0.0,2.0,2022-08-11,2,0,25.23333333333333,26.7,23.9,28.5625,32.1,23.9,0.0,14.8,-3.624954525476166e-15,28.9,25.4,68.0,57.0,1015.2,1016.5,16.6,14.8,-0.3000000000000682,True,False,False,False
66699,66699,2022-08-11 03:00:00,25.1,17.6,63.0,0.0,10.0,13.0,14.8,1015.3,0.0,2.0,2022-08-11,3,0,25.23333333333333,26.7,23.9,28.5625,32.1,23.9,0.0,12.802500789158705,2.257426309670094,28.8,25.2,65.0,56.0,1015.3,1016.3,9.4,14.8,0.0,True,False,False,False
66700,66700,2022-08-11 04:00:00,24.4,17.4,65.0,0.0,360.0,13.0,16.7,1015.3,0.0,2.0,2022-08-11,4,0,25.23333333333333,26.7,23.9,28.5625,32.1,23.9,0.0,13.0,-3.184081677783118e-15,29.0,24.0,65.0,61.0,1015.7,1016.0,9.4,14.8,0.1999999999999318,True,False,False,False
66701,66701,2022-08-11 05:00:00,23.9,17.4,67.0,0.0,360.0,16.6,18.5,1015.6,8.0,2.0,2022-08-11,5,0,25.23333333333333,26.7,23.9,28.5625,32.1,23.9,0.0,16.6,-4.065827373169213e-15,26.9,24.1,65.0,61.0,1015.6,1016.3,5.4,16.6,0.3000000000000682,True,False,False,False
66702,66702,2022-08-11 06:00:00,24.4,17.4,65.0,0.0,360.0,14.8,18.5,1015.7,31.0,2.0,2022-08-11,6,0,28.7,30.8,24.4,28.5625,32.1,23.9,0.0,14.8,-3.624954525476166e-15,26.7,24.8,56.0,58.0,1015.3,1016.7,0.0,14.8,0.40000000000009095,False,True,False,False
66703,66703,2022-08-11 07:00:00,26.4,17.5,58.0,0.0,360.0,11.2,18.5,1015.9,49.0,1.0,2022-08-11,7,0,28.7,30.8,24.4,28.5625,32.1,23.9,0.0,11.2,-2.743208830090071e-15,26.0,26.8,59.0,54.0,1015.1,1017.0,5.4,9.4,0.6000000000000227,False,True,False,False
66704,66704,2022-08-11 08:00:00,30.2,19.2,52.0,0.0,280.0,5.4,14.8,1016.0,60.0,1.0,2022-08-11,8,0,28.7,30.8,24.4,28.5625,32.1,23.9,0.0,0.9377001594014219,-5.317961866265924,25.3,30.2,62.0,49.0,1015.3,1016.9,14.8,3.6,0.39999999999997726,False,True,False,False
66705,66705,2022-08-11 09:00:00,30.0,23.4,68.0,0.0,220.0,14.8,16.7,1015.9,60.0,1.0,2022-08-11,9,0,28.7,30.8,24.4,28.5625,32.1,23.9,0.0,-11.337457758160875,-9.513256623360782,25.1,31.6,63.0,55.0,1015.3,1016.5,13.0,13.0,0.1999999999999318,False,True,False,False
66706,66706,2022-08-11 10:00:00,30.4,23.8,68.0,0.0,220.0,20.5,20.4,1015.8,60.0,1.0,2022-08-11,10,0,28.7,30.8,24.4,28.5625,32.1,23.9,0.0,-15.70391108393905,-13.177145998574055,24.4,31.9,65.0,54.0,1015.3,1016.3,13.0,16.6,-0.10000000000002274,False,True,False,False
66707,66707,2022-08-11 11:00:00,30.8,23.7,66.0,0.0,210.0,20.5,25.9,1015.8,60.0,1.0,2022-08-11,11,0,28.7,30.8,24.4,28.5625,32.1,23.9,0.0,-17.75352077758099,-10.250000000000002,23.9,31.7,67.0,59.0,1015.6,1016.2,16.6,20.5,-0.20000000000004547,False,True,False,False
