date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-01 00:00:00,28.1,24.6,30.5,,,,,,,
2020-01-02 00:00:00,28.1,25.5,30.3,2.5,,,,,,
2020-01-03 00:00:00,27.4,,30.5,1.3,,,,,,
2020-01-04 00:00:00,26.7,23.1,30.2,1.8,,,,,,
2020-01-05 00:00:00,25.4,22.5,28.6,0.5,,,,,,
2020-01-06 00:00:00,26.9,22.6,29.9,4.3,,,,,,
2020-01-07 00:00:00,26.3,23.5,30,11.2,,,,,,
2020-01-08 00:00:00,26.2,23.5,30,8.1,,,,,,
2020-01-09 00:00:00,26.3,,29.8,49,,,,,,
2020-01-10 00:00:00,26.6,,30.1,0,,,,,,
2020-01-11 00:00:00,,,,,,,,,,
2020-01-12 00:00:00,25.3,,28,7.6,,,,,,
2020-01-13 00:00:00,27.2,23.2,30.7,0.3,,,,,,
2020-01-14 00:00:00,27.1,23,31,0,,,,,,
2020-01-15 00:00:00,27.4,23.6,31.4,,,,,,,
2020-01-16 00:00:00,27.3,,31.5,3.3,,,,,,
2020-01-17 00:00:00,26.1,,31.9,4.1,,,,,,
2020-01-18 00:00:00,26.3,21.3,31.2,0,,,,,,
2020-01-19 00:00:00,26.8,22,29.8,,,,,,,
2020-01-20 00:00:00,27.2,24.1,30.4,,,,,,,
2020-01-21 00:00:00,26,,30.6,,,,,,,
2020-01-22 00:00:00,26.3,22.7,29.4,4.8,,,,,,
2020-01-23 00:00:00,26.8,23.7,29.7,12.7,,,,,,
2020-01-24 00:00:00,27.1,23.7,29.9,14.7,,,,,,
2020-01-25 00:00:00,25.6,24.5,28,118.1,,,,,,
2020-01-26 00:00:00,25,,27.3,47.2,,,,,,
2020-01-27 00:00:00,,,,,,,,,,
2020-01-28 00:00:00,27.7,24.4,30.7,0.5,,,,,,
2020-01-29 00:00:00,26.9,,29.8,3.3,,,,,,
2020-01-30 00:00:00,26.8,23.8,29.5,0.8,,,,,,
2020-01-31 00:00:00,27,,30.5,0,,,,,,
2020-02-01 00:00:00,25.7,23,27.4,0.3,,,,,,
2020-02-02 00:00:00,25.5,,28.8,33.3,,,,,,
2020-02-03 00:00:00,24.9,,29.2,2.5,,,,,,
2020-02-04 00:00:00,25.7,20.3,30.1,0,,,,,,
2020-02-05 00:00:00,26.8,21.9,31.8,,,,,,,
2020-02-06 00:00:00,26.3,23.9,30.3,63.2,,,,,,
2020-02-07 00:00:00,27.3,24.9,30.1,51.8,,,,,,
2020-02-08 00:00:00,26.7,,29.5,38.9,,,,,,
2020-02-09 00:00:00,26.7,22,30.5,0,,,,,,
2020-02-10 00:00:00,27.7,23.5,30,2.3,,,,,,
2020-02-11 00:00:00,26.4,,29.7,0.3,,,,,,
2020-02-12 00:00:00,27.1,23.3,29.3,8.1,,,,,,
2020-02-13 00:00:00,27.2,24,29.6,8.1,,,,,,
2020-02-14 00:00:00,27.7,24,29.8,11.7,,,,,,
2020-02-15 00:00:00,26.7,,30.1,3,,,,,,
2020-02-16 00:00:00,26.7,23.6,29.9,1.8,,,,,,
2020-02-17 00:00:00,26.2,,29.3,3.3,,,,,,
2020-02-18 00:00:00,25.8,23.2,30.6,1.5,,,,,,
2020-02-19 00:00:00,26.3,22.8,29.8,13.2,,,,,,
2020-02-20 00:00:00,27.5,22.5,30,7.1,,,,,,
2020-02-21 00:00:00,26.9,,30.3,0,,,,,,
2020-02-22 00:00:00,26.1,22.1,30.5,5.1,,,,,,
2020-02-23 00:00:00,27.4,23,30.7,1,,,,,,
2020-02-24 00:00:00,27.2,23.8,30.2,9.4,,,,,,
2020-02-25 00:00:00,26.6,,29.4,21.1,,,,,,
2020-02-26 00:00:00,26.3,23.2,29.5,6.6,,,,,,
2020-02-27 00:00:00,25.8,23.5,29.5,7.9,,,,,,
2020-02-28 00:00:00,27.7,23.5,29.9,3,,,,,,
2020-02-29 00:00:00,26.8,,30.1,19.6,,,,,,
2020-03-01 00:00:00,26.4,22.6,30.6,1.5,,,,,,
2020-03-02 00:00:00,26.4,,29.4,38.9,,,,,,
2020-03-03 00:00:00,26.3,21.4,29.7,0.3,,,,,,
2020-03-04 00:00:00,27.6,23.6,31.4,4.3,,,,,,
2020-03-05 00:00:00,26.8,24.6,30.4,7.1,,,,,,
2020-03-06 00:00:00,27.8,24.8,31.9,19.1,,,,,,
2020-03-07 00:00:00,28.6,25.4,31.8,11.9,,,,,,
2020-03-08 00:00:00,,,,,,,,,,
2020-03-09 00:00:00,26.9,22.5,29.8,0,,,,,,
2020-03-10 00:00:00,25.8,,29.9,,,,,,,
2020-03-11 00:00:00,,,,,,,,,,
2020-03-12 00:00:00,26.9,,30.5,,,,,,,
2020-03-13 00:00:00,,,,,,,,,,
2020-03-14 00:00:00,25.4,22.5,31,,,,,,,
2020-03-15 00:00:00,27.2,22,31.5,,,,,,,
2020-03-16 00:00:00,26.5,23.5,30.6,0,,,,,,
2020-03-17 00:00:00,26.2,23.5,29.4,7.9,,,,,,
2020-03-18 00:00:00,25.9,23.2,31.2,37.8,,,,,,
2020-03-19 00:00:00,26.6,,30.3,13.7,,,,,,
2020-03-20 00:00:00,27.3,22.5,31,0,,,,,,
2020-03-21 00:00:00,26.2,24.1,29.2,25.1,,,,,,
2020-03-22 00:00:00,26.6,23.9,30.1,66.5,,,,,,
2020-03-23 00:00:00,26.7,23.6,30.2,19.1,,,,,,
